"id","weight","height","gender"
1000,145,136,"Male"
1001,98,197,"Male"
1002,131,127,"Male"
1003,59,185,"Female"
1004,72,113,"Female"
1005,124,180,"Female"
1006,17,150,"Female"
1007,182,182,"Female"
1008,115,208,"Female"
1009,127,149,"Female"
1010,76,160,"Female"
1011,62,157,"Male"
1012,85,179,"Female"
1013,32,176,"Female"
1014,120,125,"Female"
1015,78,172,"Male"
1016,123,162,"Female"
1017,116,165,"Male"
1018,92,145,"Male"
1019,28,149,"Female"
1020,70,155,"Male"
1021,80,156,"Male"
1022,132,168,"Female"
1023,63,146,"Female"
1024,69,199,"Male"
1025,86,171,"Male"
1026,17,172,"Male"
1027,43,151,"Male"
1028,103,177,"Female"
1029,89,153,"Female"
1030,72,183,"Male"
1031,164,163,"Female"
1032,147,201,"Male"
1033,95,181,"Female"
1034,167,156,"Female"
1035,61,183,"Female"
1036,78,172,"Female"
1037,67,156,"Female"
1038,43,200,"Female"
1039,55,130,"Female"
1040,82,186,"Male"
1041,21,173,"Male"
1042,143,213,"Female"
1043,68,211,"Female"
1044,69,138,"Male"
1045,78,183,"Female"
1046,99,178,"Female"
1047,90,172,"Male"
1048,94,159,"Male"
1049,88,174,"Male"
1050,79,183,"Male"
1051,94,175,"Female"
1052,107,121,"Male"
1053,105,170,"Male"
1054,87,211,"Male"
1055,90,158,"Male"
1056,30,180,"Male"
1057,78,163,"Male"
1058,89,155,"Female"
1059,81,139,"Female"
1060,85,178,"Male"
1061,107,194,"Female"
1062,161,171,"Male"
1063,93,155,"Male"
1064,113,183,"Male"
1065,96,203,"Male"
1066,0,212,"Female"
1067,125,122,"Male"
1068,175,170,"Female"
1069,113,148,"Male"
1070,30,181,"Female"
1071,78,182,"Female"
1072,48,196,"Male"
1073,41,179,"Female"
1074,50,174,"Male"
1075,36,179,"Male"
1076,79,178,"Female"
1077,16,175,"Female"
1078,99,193,"Female"
1079,102,155,"Male"
1080,119,195,"Female"
1081,100,177,"Male"
1082,76,161,"Female"
1083,45,179,"Male"
1084,98,159,"Female"
1085,136,176,"Female"
1086,132,189,"Female"
1087,134,162,"Male"
1088,92,173,"Female"
1089,70,158,"Male"
1090,150,159,"Male"
1091,165,180,"Male"
1092,69,98,"Male"
1093,151,168,"Female"
1094,110,152,"Male"
1095,104,184,"Male"
1096,102,150,"Male"
1097,45,166,"Male"
1098,142,189,"Female"
1099,37,167,"Female"
