"id","weight","height","gender"
1000,50,164,"Male"
1001,78,175,"Female"
1002,93,165,"Male"
1003,75,179,"Female"
1004,78,164,"Male"
1005,103,148,"Male"
1006,86,165,"Female"
1007,102,178,"Male"
1008,47,174,"Male"
1009,85,157,"Female"
1010,74,175,"Male"
1011,100,154,"Female"
1012,105,151,"Female"
1013,87,171,"Female"
1014,79,160,"Male"
1015,176,185,"Female"
1016,110,192,"Male"
1017,74,138,"Female"
1018,88,189,"Female"
1019,53,181,"Female"
1020,128,162,"Female"
1021,-25,176,"Male"
1022,148,168,"Female"
1023,98,190,"Female"
1024,128,172,"Female"
1025,136,143,"Female"
1026,62,174,"Female"
1027,92,167,"Female"
1028,99,176,"Female"
1029,114,125,"Male"
1030,67,165,"Male"
1031,84,185,"Male"
1032,122,170,"Male"
1033,69,155,"Female"
1034,76,142,"Male"
1035,88,159,"Male"
1036,87,174,"Male"
1037,67,197,"Male"
1038,80,192,"Female"
1039,85,156,"Male"
1040,79,154,"Male"
1041,16,161,"Female"
1042,16,152,"Male"
1043,115,191,"Male"
1044,71,176,"Female"
1045,118,166,"Male"
1046,140,157,"Male"
1047,163,164,"Male"
1048,29,150,"Male"
1049,81,168,"Female"
1050,46,141,"Female"
1051,72,174,"Female"
1052,55,158,"Male"
1053,97,166,"Male"
1054,46,170,"Female"
1055,132,158,"Male"
1056,44,149,"Female"
1057,117,158,"Male"
1058,125,215,"Female"
1059,115,174,"Male"
1060,146,168,"Male"
1061,121,147,"Male"
1062,142,143,"Female"
1063,24,140,"Female"
1064,79,150,"Female"
1065,19,171,"Female"
1066,66,188,"Female"
1067,72,152,"Male"
1068,160,184,"Male"
1069,88,159,"Female"
1070,52,206,"Female"
1071,107,186,"Male"
1072,65,193,"Female"
1073,36,152,"Female"
1074,97,165,"Male"
1075,115,191,"Male"
1076,79,201,"Male"
1077,73,157,"Male"
1078,55,161,"Male"
1079,91,175,"Male"
1080,83,150,"Female"
1081,129,150,"Female"
1082,73,158,"Male"
1083,93,142,"Male"
1084,157,167,"Female"
1085,36,176,"Male"
1086,88,165,"Female"
1087,76,164,"Female"
1088,104,181,"Female"
1089,108,177,"Male"
1090,152,170,"Male"
1091,90,145,"Female"
1092,79,190,"Female"
1093,71,194,"Female"
1094,112,158,"Female"
1095,151,186,"Female"
1096,82,161,"Female"
1097,200,154,"Male"
1098,70,186,"Female"
1099,83,143,"Female"
1100,80,164,"Male"
1101,67,176,"Female"
1102,46,159,"Female"
1103,119,161,"Female"
1104,51,160,"Female"
1105,77,122,"Male"
1106,142,189,"Female"
1107,107,153,"Female"
1108,153,147,"Female"
1109,144,167,"Female"
1110,134,149,"Female"
1111,59,166,"Male"
1112,78,154,"Female"
1113,91,174,"Female"
1114,84,124,"Female"
1115,81,197,"Male"
1116,91,190,"Male"
1117,97,191,"Female"
1118,110,183,"Male"
1119,112,186,"Male"
1120,97,222,"Male"
1121,70,193,"Male"
1122,115,171,"Male"
1123,36,190,"Female"
1124,107,178,"Female"
1125,100,158,"Female"
1126,171,180,"Male"
1127,28,202,"Male"
1128,80,181,"Female"
1129,80,184,"Female"
1130,77,157,"Male"
1131,92,156,"Male"
1132,109,186,"Female"
1133,100,151,"Female"
1134,69,157,"Female"
1135,99,175,"Female"
1136,61,108,"Female"
1137,104,193,"Male"
1138,135,143,"Male"
1139,61,190,"Male"
1140,79,157,"Female"
1141,75,167,"Male"
1142,78,190,"Male"
1143,119,153,"Male"
1144,130,145,"Male"
1145,82,166,"Female"
1146,111,171,"Male"
1147,28,180,"Male"
1148,126,190,"Female"
1149,116,157,"Male"
1150,114,186,"Male"
1151,117,184,"Female"
1152,14,144,"Male"
1153,42,160,"Female"
1154,150,156,"Female"
1155,60,156,"Female"
1156,101,204,"Female"
1157,83,165,"Female"
1158,122,221,"Female"
1159,28,123,"Female"
1160,47,207,"Female"
1161,132,157,"Female"
1162,112,188,"Female"
1163,129,136,"Female"
1164,113,146,"Male"
1165,127,171,"Female"
1166,126,152,"Female"
1167,70,139,"Female"
1168,64,136,"Female"
1169,110,174,"Female"
1170,60,157,"Female"
1171,110,173,"Female"
1172,102,169,"Female"
1173,79,181,"Female"
1174,81,154,"Female"
1175,126,162,"Male"
1176,146,178,"Female"
1177,30,186,"Female"
1178,43,168,"Female"
1179,144,163,"Female"
1180,116,153,"Male"
1181,105,144,"Male"
1182,195,154,"Female"
1183,110,166,"Female"
1184,112,170,"Female"
1185,190,174,"Female"
1186,74,159,"Female"
1187,145,171,"Female"
1188,137,160,"Female"
1189,22,168,"Female"
1190,87,172,"Male"
1191,119,182,"Male"
1192,166,177,"Male"
1193,87,170,"Female"
1194,63,129,"Male"
1195,59,179,"Female"
1196,93,179,"Female"
1197,112,158,"Female"
1198,137,157,"Female"
1199,128,179,"Female"
1200,193,174,"Male"
1201,134,129,"Male"
1202,77,147,"Female"
1203,88,170,"Female"
1204,85,191,"Male"
1205,82,155,"Female"
1206,86,162,"Male"
1207,117,170,"Female"
1208,66,143,"Male"
1209,52,179,"Female"
1210,137,131,"Male"
1211,150,185,"Female"
1212,100,149,"Female"
1213,90,184,"Female"
1214,12,187,"Female"
1215,61,180,"Male"
1216,98,156,"Male"
